query id,subject id, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
DS1-1_DN0_c7_g1_i1.p1,QXN67727.1,100.000,522,0,0,1,522,1,522,0.0,1097,100.00
DS1-1_DN0_c7_g1_i1.p1,WYA77335.1,98.276,522,9,0,1,522,1,522,0.0,1083,99.04
DS1-1_DN0_c7_g1_i1.p1,P07928.1,98.467,522,8,0,1,522,1,522,0.0,1078,98.66
DS1-1_DN0_c7_g1_i1.p1,NP_040703.1,100.000,513,0,0,10,522,1,513,0.0,1076,100.00
DS1-1_DN0_c7_g1_i1.p1,ABN49622.1,99.805,513,1,0,10,522,1,513,0.0,1075,99.81
DS1-1_DN0_c7_g1_i1.p1,ABN49787.1,99.610,513,2,0,10,522,1,513,0.0,1073,99.61
DS1-1_DN0_c7_g1_i1.p1,ABN49864.1,99.610,513,2,0,10,522,1,513,0.0,1073,99.61
DS1-1_DN0_c7_g1_i1.p1,AEQ25455.1,99.610,513,2,0,10,522,1,513,0.0,1072,99.61
DS1-1_DN0_c7_g1_i1.p1,ADM34313.1,99.610,513,2,0,10,522,1,513,0.0,1072,99.61
DS1-1_DN0_c7_g1_i1.p1,AXC43227.1,99.610,513,2,0,10,522,1,513,0.0,1072,99.61
DS1-1_DN0_c7_g1_i1.p1,AFN69598.2,99.415,513,3,0,10,522,1,513,0.0,1071,99.61
DS1-1_DN0_c7_g1_i1.p1,AEQ25466.1,99.220,513,4,0,10,522,1,513,0.0,1070,99.81
DS1-1_DN0_c7_g1_i1.p1,ADM34368.1,99.415,513,3,0,10,522,1,513,0.0,1070,99.61
DS1-1_DN0_c7_g1_i1.p1,ADM34456.1,99.415,513,3,0,10,522,1,513,0.0,1070,99.61
DS1-1_DN0_c7_g1_i1.p1,ADM34302.1,99.415,513,3,0,10,522,1,513,0.0,1070,99.42
DS1-1_DN0_c7_g1_i1.p1,AFN69587.1,99.415,513,3,0,10,522,1,513,0.0,1070,99.42
DS1-1_DN0_c7_g1_i1.p1,ADM34896.1,99.415,513,3,0,10,522,1,513,0.0,1070,99.61
